Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2018-06-27,194.48146057128906,199.35740369564388,194.44174471729806,197.79828746182372,18734400
2018-06-28,194.86878967285156,195.97109044329886,191.91939072362615,193.8260702706,18172400
2018-06-29,192.97203063964844,196.2292764253612,192.61452731424384,195.95121996703992,15811600
2018-07-02,195.99093627929688,196.08030832262045,190.88659249262903,192.0286090096052,13961600
2018-07-03,191.39306640625,194.04454333346345,191.18453161977428,193.2004487047299,13489500
2018-07-05,197.07339477539062,197.27200439061318,192.68405712132028,193.38913868124402,19684200
2018-07-06,201.82022094726562,202.22738047792387,196.32858290692408,197.0733802739101,19740100
2018-07-09,203.31976318359375,204.3724077415996,200.71792731913249,203.50843246141565,18149400
2018-07-10,202.1280517578125,203.48855847550138,200.85693223316977,203.08139897776456,13190100
2018-07-11,201.135009765625,203.08142026529077,200.35049652089202,200.81723742762458,12927400
2018-07-12,205.48460388183594,205.643497606073,201.78048295907954,202.01880839249557,15454700
2018-07-13,205.8818359375,206.9841213608554,205.01786079201096,206.3684271273547,11486800
2018-07-16,205.79246520996094,207.27213470731385,205.40517120098139,206.0605964940054,11078200
2018-07-17,208.5333251953125,209.00006606314045,203.4190411539683,203.47862251531816,15349900
2018-07-18,207.90768432617188,209.52638197442332,206.9940681228278,208.3645000043138,15334900
2018-07-19,206.64649963378906,208.5333286410416,206.3187869880093,207.32179043044025,11350400
2018-07-20,208.48367309570312,210.03284913292228,207.05365978351912,207.40123793545908,16163900
2018-07-23,209.4469451904297,210.15201151632886,207.35158141197147,209.11923254417522,16732000
2018-07-24,213.1808624267578,214.70024781858933,211.12522960666732,213.61781263279005,28468700
2018-07-25,215.99122619628906,217.10345202937037,212.7836365972089,214.22357507459606,58954200
2018-07-26,175.0373077392578,178.88047248591084,172.5447246539914,173.6768160542366,169803700
2018-07-27,173.6768035888672,178.68183490626512,171.79991495072542,178.62225354520353,60073700
2018-07-30,169.8733673095703,174.08396020571564,165.40458346879407,174.08396020571564,65280800
2018-07-31,171.38282775878906,173.03131610438982,168.82072320010525,169.4860736437764,40356500
2018-08-01,170.45928955078125,173.86550415299672,169.7144921624389,172.72347239910673,34042100
2018-08-02,175.14654541015625,175.56363012074144,169.08886920067656,169.49601358173788,32400000
2018-08-03,176.5467529296875,177.60933769737173,174.92805526236816,176.45738088930472,24763400
2018-08-06,184.40191650390625,184.50121373670285,177.14262660288472,177.72853028109512,49716200
2018-08-07,182.53494262695312,186.9938018074944,182.4455705765114,185.20628503395105,33398600
2018-08-08,183.8954315185547,185.55386035580324,182.48528362805902,183.46842162661105,22205200
2018-08-09,181.81991577148438,185.27578620173068,181.21414668626363,184.56077957153767,19732100
2018-08-10,179.00953674316406,180.83678423878732,178.17536743275696,180.77718772838168,21500400
2018-08-13,178.80101013183594,181.34324918572818,177.6589785009637,178.8506663162982,17423300
2018-08-14,179.85365295410156,180.72755330338038,177.3809204583139,179.45643378785113,19102000
2018-08-15,178.2846221923828,179.6153231474566,173.56757233346266,178.09593777355548,33020200
2018-08-16,173.4881134033203,179.24788217699165,172.80289746803487,179.16843531390668,31351800
2018-08-17,172.59437561035156,174.99758657475485,170.84657479773762,173.2895167731226,24893200
2018-08-20,171.3033905029297,173.35903846237647,169.7244237576085,172.8327010609952,21518000
2018-08-21,171.42254638671875,172.96179721255226,170.20108302428272,171.61123079899346,19578500
2018-08-22,172.4355010986328,173.03134510626717,170.93598105510787,171.01542793298862,16894100
2018-08-23,171.70059204101562,174.33221816557742,171.63108550835693,171.8892764414224,18053600
2018-08-24,173.43846130371094,173.60729536232932,171.72046641374712,172.4950544058899,14631600
